Lap Dist,Steering Pos,Throttle Pos,Ground Speed,G Force Lat,G Force Vert,label
900.2661,-4.00998,100.0,237.01674,-0.13948756,0.2642873,0
900.91296,-4.042488,100.0,237.08447,-0.13717262,0.2745106,0
901.0482,-4.081146,100.0,237.09805,-0.13668871,0.2766477,0
901.5598,-4.227418,100.0,237.14946,-0.13485768,0.28473392,0
902.20667,-4.388064,100.0,237.20116,-0.13254274,0.29495725,0
902.3437,-4.401227,100.0,237.21385,-0.13205229,0.2971232,0
902.8535,-4.4501944,100.0,237.26105,-0.1302278,0.30518055,0
903.45416,-4.6294036,100.0,237.32721,-0.12807822,0.31467363,0
903.50073,-4.643189,100.0,237.3323,-0.12807626,0.31438008,0
903.64075,-4.7026706,100.0,237.34515,-0.12807034,0.31349772,0
904.15283,-4.9202476,100.0,237.39215,-0.1280487,0.31027016,0
904.80493,-5.1260233,100.0,237.44492,-0.12802115,0.30616024,0
904.9468,-5.1893544,100.0,237.45906,-0.12801516,0.30526626,0
905.4571,-5.4171824,100.0,237.50995,-0.1279936,0.30205032,0
906.1092,-5.732589,100.0,237.56357,-0.12796605,0.29794037,0
906.25287,-5.757463,100.0,237.5744,-0.12795998,0.2970348,0
906.7613,-5.8454785,100.0,237.61273,-0.1279385,0.29383045,0
907.4134,-6.0107574,100.0,237.67485,-0.12791094,0.28972054,0
907.5589,-6.071323,100.0,237.68674,-0.1279048,0.28880337,0
908.0655,-6.2821517,100.0,237.72809,-0.12788339,0.28561062,0
908.7176,-6.4106264,100.0,237.77348,-0.12785585,0.2815007,0
908.865,-6.4430323,100.0,237.78537,-0.12784962,0.2805719,0
909.3697,-6.554022,100.0,237.82605,-0.1278283,0.27739078,0
910.0218,-6.7652555,100.0,237.8792,-0.12780075,0.27328086,0
910.0591,-6.767559,100.0,237.88184,-0.12779917,0.27304602,0
910.17194,-6.7744803,100.0,237.88976,-0.12781312,0.2771189,0
910.6789,-6.805572,100.0,237.92537,-0.12787579,0.29541516,0
911.33624,-6.806608,100.0,237.97577,-0.12795706,0.31914002,0
911.4885,-6.8315344,100.0,237.98822,-0.12797588,0.3246356,0
911.99365,-6.914216,100.0,238.02954,-0.12803832,0.34286484,0
912.651,-6.9369397,100.0,238.07478,-0.12811959,0.3665897,0
912.8051,-6.923824,100.0,238.08421,-0.12813865,0.3721523,0
913.30835,-6.881,100.0,238.11499,-0.12820086,0.39031455,0
913.9657,-6.9157133,100.0,238.16435,-0.12828211,0.4140394,0
914.1217,-6.8984957,100.0,238.17484,-0.12830141,0.41966903,0
914.6231,-6.843154,100.0,238.20854,-0.12836339,0.43776423,0
915.28046,-6.605772,100.0,238.2472,-0.12844466,0.46148908,0
