Lap Dist,Steering Pos,Throttle Pos,Ground Speed,G Force Lat,G Force Vert,label
900.21356,-5.6231575,100.0,236.69633,-0.19253714,0.27341968,0
900.85986,-5.5682297,100.0,236.7492,-0.19526021,0.2699452,0
900.9515,-5.577716,100.0,236.75812,-0.1956461,0.2694528,0
901.50616,-5.6351705,100.0,236.8121,-0.1979833,0.2664707,0
902.15247,-5.759791,100.0,236.87428,-0.20070638,0.2629962,0
902.2458,-5.752947,100.0,236.88185,-0.20109954,0.26249453,0
902.79877,-5.712389,100.0,236.92665,-0.20342945,0.2595217,0
903.44507,-5.6715527,100.0,236.98384,-0.20615253,0.25604722,0
903.54016,-5.6839113,100.0,236.99364,-0.20655298,0.25553626,0
904.09143,-5.7555923,100.0,237.05048,-0.20887561,0.25257272,0
904.30975,-5.774924,100.0,237.07004,-0.20979556,0.2513989,0
904.7408,-5.812813,100.0,237.1084,-0.20512724,0.25463468,0
904.8382,-5.8250947,100.0,237.11572,-0.20407161,0.25536638,0
905.39166,-5.894839,100.0,237.15736,-0.19807713,0.2595214,0
906.0426,-6.1288705,100.0,237.21428,-0.19102702,0.26440808,0
906.1418,-6.1545854,100.0,237.22229,-0.18995252,0.26515287,0
906.6935,-6.297596,100.0,237.26685,-0.1839769,0.2692948,0
907.3444,-6.30939,100.0,237.31665,-0.17692678,0.27418151,0
907.4453,-6.3292947,100.0,237.32529,-0.17583345,0.27493933,0
907.9953,-6.4377403,100.0,237.37238,-0.16987666,0.2790682,0
908.64624,-6.587986,100.0,237.42601,-0.16282655,0.28395492,0
908.7489,-6.59153,100.0,237.43315,-0.16171436,0.28472582,0
909.2971,-6.6104503,100.0,237.47125,-0.15577643,0.28884163,0
909.94806,-6.671263,100.0,237.51733,-0.14872631,0.29372832,0
910.0524,-6.6736417,100.0,237.52498,-0.14759529,0.2945123,0
910.59894,-6.6860876,100.0,237.56502,-0.1416762,0.29861504,0
910.898,-6.624898,100.0,237.58684,-0.13843696,0.3008603,0
911.2528,-6.55291,100.0,237.6125,-0.1408293,0.3125972,0
911.35986,-6.5468693,100.0,237.62029,-0.14155115,0.31613865,0
911.9091,-6.515875,100.0,237.66022,-0.14525512,0.3343104,0
912.5654,-6.536435,100.0,237.71547,-0.14968096,0.35602367,0
912.67426,-6.5226984,100.0,237.7234,-0.15041465,0.3596232,0
913.2218,-6.4535713,100.0,237.76332,-0.15410678,0.37773693,0
913.8781,-6.3780093,100.0,237.80573,-0.1585326,0.39945018,0
913.9887,-6.381711,100.0,237.81285,-0.15927812,0.40310776,0
914.5345,-6.3999853,100.0,237.84802,-0.16295843,0.4211634,0
915.1908,-6.270999,100.0,237.89453,-0.16738425,0.44287667,0
915.3031,-6.227656,100.0,237.90173,-0.16814162,0.4465923,0
915.84717,-6.0177126,100.0,237.9366,-0.17181008,0.46458992,0
916.5035,-5.881699,100.0,237.9836,-0.17623591,0.48630318,0
916.61755,-5.8464456,100.0,237.99167,-0.1770051,0.49007687,0
917.1598,-5.6788554,100.0,238.03008,-0.18066174,0.5080164,0
917.5412,-5.5315804,100.0,238.0562,-0.1832335,0.5206336,0
917.82166,-5.4254055,100.0,238.07503,-0.18170643,0.5261746,0
917.9398,-5.4019256,100.0,238.08311,-0.18106315,0.5285088,0
918.49115,-5.2923536,100.0,238.12086,-0.17806117,0.53940153,0
919.16064,-5.087053,100.0,238.16728,-0.1744159,0.5526285,0
919.2806,-5.0427585,100.0,238.17627,-0.17376287,0.55499804,0
919.83014,-4.839797,100.0,238.21744,-0.17077065,0.56585544,0
920.49963,-4.742438,100.0,238.26265,-0.16712539,0.5790824,0
920.62134,-4.742575,100.0,238.27257,-0.16646262,0.5814873,0
921.1691,-4.743192,100.0,238.3172,-0.16348012,0.59230936,0
921.8386,-4.565101,100.0,238.36197,-0.15983486,0.60553634,0
921.96216,-4.547075,100.0,238.36986,-0.15916234,0.6079766,0
922.5081,-4.467393,100.0,238.40472,-0.15618959,0.61876327,0
923.1776,-4.4070807,100.0,238.45103,-0.15254433,0.63199025,0
923.3029,-4.3613415,100.0,238.45915,-0.15186207,0.6344659,0
923.8471,-4.1627026,100.0,238.4944,-0.14889908,0.6452172,0
924.31757,-4.0418825,100.0,238.5288,-0.14633754,0.6545118,0
924.51337,-3.9907665,100.0,238.54335,-0.14402524,0.6621308,0
924.6384,-3.9703681,100.0,238.54683,-0.14254871,0.6669959,0
925.172,-3.8833153,100.0,238.56168,-0.13624749,0.6877582,0
925.8306,-3.695922,100.0,238.60048,-0.12846975,0.7133857,0
925.95746,-3.659914,100.0,238.61003,-0.12697242,0.7183193,0
926.4893,-3.5088806,100.0,238.65012,-0.120692,0.73901314,0
927.14795,-3.3043032,100.0,238.6686,-0.11291426,0.76464057,0
927.2765,-3.2582874,100.0,238.68095,-0.11139614,0.7696427,0
927.8066,-3.068551,100.0,238.7319,-0.10513651,0.79026806,0
928.4652,-2.8638964,100.0,238.79425,-0.09735876,0.8158955,0
928.5955,-2.8352036,100.0,238.79916,-0.09581985,0.8209662,0
929.12384,-2.7188818,100.0,238.81905,-0.08958102,0.84152293,0
929.7825,-2.9624598,100.0,238.88316,-0.08180328,0.86715037,0
929.91455,-3.0081024,100.0,238.89398,-0.080243565,0.8722896,0
930.44116,-3.1900644,100.0,238.9371,-0.07402553,0.89277786,0
930.9841,-3.4466867,100.0,238.98505,-0.067614146,0.9139032,0
931.0995,-3.5013766,100.0,238.99527,-0.07166767,0.911366,0
931.233,-3.600834,100.0,239.00604,-0.07635649,0.9084311,0
931.7565,-3.9908116,100.0,239.04828,-0.09474159,0.8969234,0
932.41345,-4.1782856,100.0,239.0961,-0.11781552,0.8824809,0
932.54877,-4.2174087,100.0,239.1035,-0.12256603,0.8795074,0
933.0705,-4.3683114,100.0,239.13208,-0.14088944,0.86803836,0
933.7275,-4.5324807,100.0,239.18517,-0.16396336,0.8535958,0
933.8645,-4.5128894,100.0,239.19633,-0.16877557,0.85058373,0
934.38446,-4.4385424,100.0,239.23875,-0.18703727,0.8391533,0
935.04144,-4.428533,100.0,239.27106,-0.2101112,0.8247107,0
935.18024,-4.446932,100.0,239.28006,-0.2149851,0.82166004,0
935.6984,-4.515635,100.0,239.3137,-0.23318513,0.81026816,0
936.3554,-4.2797437,100.0,239.34264,-0.25625905,0.79582566,0
936.496,-4.219382,100.0,239.34732,-0.26119465,0.79273635,0
937.01245,-3.997551,100.0,239.36452,-0.27933297,0.7813831,0
937.6339,-3.7347887,100.0,239.40485,-0.30115965,0.76772124,0
937.6697,-3.7197738,100.0,239.40715,-0.29946783,0.7665207,0
937.81305,-3.5688422,100.0,239.41458,-0.29268926,0.7617103,0
938.3316,-3.02288,100.0,239.44145,-0.26816922,0.7443099,0
938.9935,-2.5736516,100.0,239.47458,-0.23687062,0.7220991,0
939.1387,-2.5258532,100.0,239.4842,-0.23000836,0.71722937,0
939.65546,-2.355644,100.0,239.51852,-0.20557202,0.69988835,0
940.3174,-1.919357,100.0,239.57147,-0.17427342,0.6776776,0
940.4643,-1.8658216,100.0,239.58403,-0.16732746,0.67274845,0
940.9793,-1.6781256,100.0,239.62808,-0.14297481,0.6554668,0
941.64124,-1.7037289,100.0,239.66437,-0.1116762,0.633256,0
941.7899,-1.6606905,100.0,239.6719,-0.10464656,0.62826747,0
942.30316,-1.5121058,100.0,239.69794,-0.08037759,0.61104524,0
942.9651,-1.3305138,100.0,239.76964,-0.04907899,0.58883446,0
943.11554,-1.2931653,100.0,239.7807,-0.04196567,0.58378655,0
943.627,-1.1661804,100.0,239.81831,-0.017780384,0.5666237,0
944.28894,-0.6789946,100.0,239.8485,0.013518222,0.5444129,0
944.3337,-0.64629304,100.0,239.8518,0.015632993,0.5429122,0
944.441,-0.56770444,100.0,239.85977,0.014296385,0.5506879,0
944.94965,-0.19501173,100.0,239.89755,0.00795776,0.587563,0
945.6103,-0.1510019,100.0,239.93501,-0.000273649,0.6354493,0
945.7639,-0.09474457,100.0,239.9385,-0.002188442,0.6465886,0
946.2709,0.09083997,100.0,239.95001,-0.008505058,0.68333566,0
946.9315,0.45084324,100.0,239.99608,-0.016736466,0.731222,0
947.0869,0.5006717,100.0,240.00748,-0.01867327,0.74248934,0
947.5921,0.662614,100.0,240.04453,-0.024967875,0.7791083,0
948.2527,0.86136264,100.0,240.0424,-0.033199284,0.82699466,0
948.4099,0.9567268,100.0,240.05653,-0.035158098,0.83839005,0
948.9133,1.2621064,100.0,240.10176,-0.041430693,0.87488097,0
949.5739,1.403963,100.0,240.14719,-0.049662102,0.92276734,0
949.7329,1.4922973,100.0,240.14694,-0.051642925,0.93429077,0
950.23456,1.7710412,100.0,240.14615,-0.05789351,0.97065365,0
950.89514,1.9816784,100.0,240.20174,-0.06612492,1.01854,0
951.02014,2.0298467,100.0,240.21077,-0.067682214,1.0275996,0
951.0559,2.0436273,100.0,240.21335,-0.06781361,1.0233866,0
951.5558,2.2362816,100.0,240.24945,-0.06965052,0.9644893,0
952.2164,2.5924115,100.0,240.2849,-0.0720781,0.8866532,0
952.3789,2.6711602,100.0,240.29262,-0.07267526,0.8675064,0
952.877,2.912542,100.0,240.3163,-0.07450568,0.80881715,0
953.53766,3.2447383,100.0,240.3757,-0.076933265,0.7309811,0
953.7019,3.3116484,100.0,240.38545,-0.07753691,0.7116262,0
954.19824,3.5138175,100.0,240.41493,-0.07936084,0.6531451,0
954.8589,3.7419102,100.0,240.45381,-0.08178842,0.575309,0
955.0249,3.783156,100.0,240.46739,-0.08239856,0.55574596,0
955.5195,3.9060154,100.0,240.50784,-0.084216,0.49747294,0
956.1801,4.17429,100.0,240.55475,-0.086643584,0.4196369,0
956.3479,4.2481465,100.0,240.56358,-0.08726022,0.39986572,0
956.8407,4.465051,100.0,240.58955,-0.08907116,0.34180084,0
957.50134,4.754561,100.0,240.63353,-0.09149874,0.2639648,0
957.6709,4.8547716,100.0,240.64363,-0.09212186,0.24398549,0
957.70667,4.8759027,99.97389,240.64577,-0.09225326,0.23977251,0
958.1631,5.1449647,99.6415,240.67288,-0.08736204,0.2577543,0
958.8253,5.525956,99.15921,240.7022,-0.080264986,0.2838455,0
958.9971,5.591988,99.03413,240.70909,-0.078424305,0.29061246,0
959.4876,5.780553,98.2693,240.72878,-0.07316793,0.3099367,0
960.14984,6.044891,97.23666,240.76443,-0.06607087,0.33602792,0
960.32336,6.115016,96.96607,240.76917,-0.06421121,0.34286466,0
960.8121,6.312511,95.53483,240.78247,-0.058973808,0.36211914,0
961.47437,6.430424,93.59539,240.79617,-0.05187675,0.38821033,0
961.64966,6.466875,93.08201,240.8033,-0.049998116,0.39511684,0
962.1366,6.5681276,91.05544,240.82307,-0.04477969,0.41430154,0
962.7988,6.717638,88.29932,240.83246,-0.037682634,0.44039276,0
962.9759,6.713875,87.562386,240.8301,-0.035785023,0.447369,0
963.4611,6.703563,85.32118,240.82364,-0.030585574,0.46648395,0
964.12335,6.5931954,82.26202,240.81842,-0.023488516,0.49257517,0
964.3022,6.562749,81.43588,240.81207,-0.02157193,0.49962118,0
964.4097,6.544442,80.962494,240.80826,-0.020419518,0.50385785,0
964.7846,6.480453,79.307846,240.79494,-0.012677058,0.5555676,0
965.445,6.2272673,76.39252,240.76173,0.0009644186,0.64667535,0
965.6251,6.1631837,75.59743,240.75397,0.0046848212,0.6715229,0
966.10547,5.992294,73.398705,240.73328,0.014605895,0.7377831,0
966.7659,5.7272573,70.375465,240.6934,0.028247371,0.8288908,0
966.9478,5.6537395,69.54286,240.6786,0.03200425,0.853982,0
967.4264,5.4603095,67.42393,240.63968,0.041888848,0.9199985,0
968.08685,5.1989727,64.49963,240.59883,0.055530325,1.0111063,0
968.2705,5.1360645,63.686466,240.58571,0.059323676,1.036441,0
968.74725,4.972745,61.522263,240.55165,0.0691718,1.102214,0
969.4077,4.815341,58.52444,240.5073,0.08281328,1.1933217,0
969.59314,4.8027163,57.682808,240.49889,0.08664311,1.2189001,0
970.0682,4.7703733,55.43449,240.47733,0.096454754,1.2844294,0
970.72864,4.9580135,52.308575,240.44814,0.11009623,1.3755372,0
970.91583,5.0605593,51.42262,240.43556,0.11396253,1.4013591,0
971.09454,5.158477,50.78068,240.42354,0.117654346,1.4260157,0
971.38794,5.319825,49.7229,240.40375,0.12698522,1.4064903,0
972.04596,5.822028,47.35091,240.34874,0.14790903,1.3627062,0
972.2342,6.032236,46.67229,240.33362,0.15389524,1.3501797,0
972.7039,6.556773,45.465534,240.29587,0.16883282,1.318922,0
973.36194,7.162662,43.77517,240.22687,0.18975662,1.2751379,0
973.55194,7.259848,43.287045,240.20363,0.19579878,1.2624943,0
974.0199,7.4992137,42.441536,240.1464,0.21068043,1.2313538,0
974.67786,7.8104625,41.252735,240.04573,0.23160422,1.1875696,0
974.8696,7.8812237,40.906265,240.01198,0.23770232,1.174809,0
975.3359,8.053257,40.04837,239.9299,0.252528,1.1437855,0
975.99384,8.253669,38.837605,239.80356,0.2734518,1.1000012,0
976.1874,8.310261,38.481495,239.7651,0.27960587,1.0871236,0
976.65186,8.446082,37.804054,239.67282,0.2943756,1.0562171,0
977.3098,8.614121,36.844345,239.52223,0.3152994,1.0124329,0
977.50507,8.647778,36.559513,239.4763,0.32150942,0.99943817,0
977.7544,8.690743,36.3324,239.41766,0.3294371,0.98284906,0
977.9659,8.727522,36.137993,239.36746,0.32651457,0.99776876,0
978.6179,8.816402,35.538567,239.22247,0.31750348,1.0437713,0
978.81323,8.840208,35.35906,239.17761,0.31480497,1.0575473,0
979.27,8.895896,35.017426,239.07265,0.30849236,1.0897737,0
979.92206,8.975493,34.52975,238.93147,0.29948127,1.135776,0
980.1191,9.002464,34.382404,238.89339,0.29675865,1.1496753,0
980.5741,9.064761,34.07468,238.80544,0.29047015,1.1817786,0
981.2262,9.17251,33.633728,238.6813,0.28145903,1.2277809,0
981.4249,9.217594,33.49932,238.646,0.27871233,1.241803,0
981.87823,9.320418,33.209007,238.56546,0.27244794,1.2737834,0
982.5303,9.502736,32.791405,238.45845,0.26343682,1.3197858,0
982.7308,9.56703,32.663,238.42961,0.26066604,1.333931,0
983.1824,9.711831,32.433174,238.36465,0.25442573,1.3657882,0
983.8344,9.948583,32.101303,238.25946,0.24541461,1.4117907,0
984.0367,10.0255,31.998371,238.23099,0.24261972,1.4260589,0
984.3543,10.146308,31.940405,238.18628,0.23823008,1.4484683,0
984.48584,10.196577,31.916286,238.16768,0.24195018,1.4322003,0
985.1346,10.437808,31.797295,238.0525,0.2603027,1.3519449,0
985.3375,10.504957,31.760069,238.01823,0.266044,1.3268383,0
985.7834,10.652454,31.867184,237.94298,0.2786552,1.2716895,0
986.4321,10.820346,32.023064,237.8151,0.2970077,1.1914341,0
986.63684,10.856839,32.072243,237.76721,0.3027981,1.1661129,0
987.08093,10.936011,32.31359,237.66331,0.31536025,1.1111786,0
987.7297,10.994002,32.666183,237.53807,0.33371276,1.0309232,0
987.9361,11.001382,32.778374,237.49205,0.3395522,1.0053874,0
988.3785,11.017195,33.092106,237.39343,0.35206527,0.95066786,0
989.0272,11.057127,33.552246,237.23508,0.37041777,0.87041247,0
989.2354,11.047746,33.699886,237.1821,0.37630627,0.8446621,0
989.676,11.027889,34.03678,237.06995,0.38877028,0.790157,0
990.32477,10.963681,34.532837,236.90587,0.4071228,0.70990163,0
