Lap Dist,Steering Pos,Throttle Pos,Ground Speed,G Force Lat,G Force Vert,label
900.0982,-6.5228505,100.0,236.53387,-0.15631816,0.25272003,0
900.2649,-6.5062785,100.0,236.54724,-0.1560731,0.25797907,0
900.7494,-6.458117,100.0,236.5861,-0.15536088,0.27326313,0
901.4006,-6.4484797,100.0,236.63797,-0.1544036,0.29380623,0
901.5699,-6.4351883,100.0,236.65224,-0.1541547,0.29914743,0
902.05273,-6.397359,100.0,236.69284,-0.15284711,0.28995308,0
902.70526,-6.384667,100.0,236.751,-0.15108009,0.2775283,0
902.87756,-6.4159985,100.0,236.76492,-0.15061359,0.27424812,0
903.3578,-6.5033474,100.0,236.80374,-0.14931305,0.2651035,0
904.0103,-6.541754,100.0,236.85406,-0.14754602,0.25267866,0
904.18524,-6.5438943,100.0,236.86942,-0.14707246,0.24934883,0
904.66284,-6.549741,100.0,236.91136,-0.145779,0.24025388,0
905.31537,-6.6912503,100.0,236.96895,-0.14401197,0.22782908,0
905.49286,-6.7360315,100.0,236.98183,-0.14353135,0.22444953,0
905.9679,-6.855888,100.0,237.01628,-0.14224495,0.21540427,0
906.6204,-6.9524755,100.0,237.06714,-0.14047793,0.20297948,0
906.80054,-6.9860387,100.0,237.08098,-0.13999023,0.19955024,0
907.27295,-7.074081,100.0,237.1173,-0.1387109,0.19055468,0
907.92554,-7.1191607,100.0,237.16064,-0.13694388,0.17812988,0
908.1082,-7.106423,100.0,237.17506,-0.13644911,0.17465094,0
908.5838,-7.0736685,100.0,237.21214,-0.13644092,0.18711549,0
909.24426,-7.0002913,100.0,237.25874,-0.13642955,0.20442738,0
909.4319,-7.006684,100.0,237.2709,-0.13642631,0.20934395,0
909.9048,-7.0228004,100.0,237.30159,-0.13641818,0.22173926,0
910.5653,-6.948209,100.0,237.34663,-0.1364068,0.23905115,0
910.7555,-6.9328957,100.0,237.36058,-0.13640352,0.24403697,0
911.22577,-6.8950377,100.0,237.39508,-0.13639542,0.25636303,0
911.8863,-6.90701,100.0,237.44345,-0.13638406,0.2736749,0
912.07916,-6.8738017,100.0,237.45676,-0.13638073,0.27872998,0
912.5468,-6.7932835,100.0,237.48904,-0.13637267,0.2909868,0
913.2073,-6.77115,100.0,237.53882,-0.1363613,0.30829868,0
913.4028,-6.800023,100.0,237.5526,-0.13635793,0.313423,0
913.8678,-6.868694,100.0,237.58537,-0.13634992,0.32561055,0
914.5283,-6.8331575,100.0,237.62737,-0.13633855,0.34292245,0
914.72644,-6.820846,100.0,237.64175,-0.13633513,0.348116,0
915.1916,-6.79212,100.0,237.67532,-0.1368713,0.36251462,0
915.8561,-6.829189,100.0,237.71889,-0.13763724,0.3830841,0
916.0581,-6.78972,100.0,237.73204,-0.13787009,0.38933718,0
916.52057,-6.699358,100.0,237.76216,-0.13840318,0.40365353,0
917.18506,-6.5465713,100.0,237.80548,-0.13916913,0.42422298,0
917.3897,-6.532792,100.0,237.81952,-0.13940503,0.43055838,0
917.84955,-6.5018334,100.0,237.85107,-0.13993506,0.44479245,0
918.51404,-6.3482924,100.0,237.89601,-0.14070101,0.4653619,0
918.7214,-6.2904015,100.0,237.90965,-0.14093998,0.47177956,0
919.1785,-6.1627445,100.0,237.93971,-0.14146695,0.48593134,0
919.843,-6.0382032,100.0,237.98434,-0.1422329,0.5065008,0
920.053,-5.9991865,100.0,237.9998,-0.14247492,0.5130007,0
920.5075,-5.914732,100.0,238.03328,-0.14299883,0.5270702,0
921.172,-5.69388,100.0,238.07663,-0.14376478,0.5476397,0
921.38464,-5.689202,100.0,238.09166,-0.14400987,0.5542219,0
921.8383,-5.6792603,100.0,238.12361,-0.14148222,0.5973651,0
922.50543,-5.6985865,100.0,238.17163,-0.13776508,0.66081095,0
922.7216,-5.6331673,100.0,238.18272,-0.13656072,0.6813674,0
923.1726,-5.496676,100.0,238.20586,-0.13404794,0.7242568,0
923.8397,-5.361997,100.0,238.25153,-0.1303308,0.7877026,0
924.0586,-5.3128185,100.0,238.26509,-0.12911157,0.80851287,0
924.5069,-5.2120624,100.0,238.29286,-0.12661366,0.8511485,0
925.174,-4.9309764,100.0,238.33437,-0.122896515,0.9145943,0
925.3955,-4.8293176,100.0,238.34663,-0.12166243,0.93565834,0
925.8412,-4.6247754,100.0,238.37134,-0.119179375,0.97804016,0
926.50836,-4.327122,100.0,238.40756,-0.115462236,1.041486,0
926.7325,-4.1855655,100.0,238.42018,-0.11421328,1.0628037,0
927.1755,-3.9058223,100.0,238.44513,-0.1117451,1.1049318,0
927.84265,-3.4471192,100.0,238.47818,-0.10802796,1.1683776,0
928.06946,-3.3175309,100.0,238.49156,-0.10676413,1.1899493,0
928.5089,-3.0659769,100.0,238.51753,-0.10205581,1.1580325,0
929.1747,-2.6895258,100.0,238.57304,-0.094922,1.1096737,0
929.40375,-2.5173135,100.0,238.58498,-0.09246797,1.0930383,0
929.8405,-2.1889086,100.0,238.60773,-0.08778819,1.0613151,0
930.50635,-2.085657,100.0,238.67519,-0.080654375,1.0129563,0
930.73804,-2.122023,100.0,238.69304,-0.078171805,0.9961274,0
931.1721,-2.1901574,100.0,238.72649,-0.07352056,0.9645975,0
931.83795,-2.0827699,100.0,238.77615,-0.06638675,0.9162388,0
932.0723,-2.1716893,100.0,238.78943,-0.063875645,0.89921653,0
932.5038,-2.3353817,100.0,238.81386,-0.059252936,0.86788005,0
933.1696,-2.6340024,100.0,238.86143,-0.05211912,0.8195213,0
933.4066,-2.6065922,100.0,238.88501,-0.049579486,0.8023056,0
933.8354,-2.5570076,100.0,238.92767,-0.04498531,0.77116257,0
934.5012,-2.6343365,100.0,238.96542,-0.037851498,0.72280383,0
934.7409,-2.6107857,100.0,238.99178,-0.035283323,0.7053947,0
935.1662,-2.568918,100.0,239.03864,-0.05101,0.70081544,0
935.8307,-2.449551,100.0,239.08858,-0.075582944,0.69366044,0
936.0726,-2.4714613,100.0,239.09772,-0.08452749,0.69105595,0
936.4952,-2.5097442,100.0,239.11368,-0.100155875,0.6865054,0
937.15967,-2.6896305,100.0,239.1518,-0.124728814,0.6793503,0
937.4042,-2.68473,100.0,239.17012,-0.13377166,0.6767173,0
937.82416,-2.6763139,100.0,239.2016,-0.14930175,0.67219526,0
938.48865,-2.690545,100.0,239.24315,-0.17387469,0.66504025,0
938.73584,-2.6232135,100.0,239.25705,-0.18301582,0.66237855,0
939.15314,-2.5095463,100.0,239.2805,-0.19844763,0.6578852,0
939.8176,-2.3009963,100.0,239.30621,-0.22302057,0.65073013,0
940.06744,-2.248818,100.0,239.32422,-0.23225999,0.6480399,0
